Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DHI Units,DNI Units,GHI Units,Temperature Units,Wind Speed Units
NSRDB,20013,Jodhpur,Rajasthan,India,26.35,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,m/s
,,,,,,,,,,,,,,
Hour,GHI,DHI,Temperature,Wind Speed,,,,,,,,,,
3454,0,0,37,0,,,,,,,,,,
3455,0,0,36,0.1,,,,,,,,,,
3456,0,0,35,0.1,,,,,,,,,,
3457,0,0,34,0.2,,,,,,,,,,
3458,0,0,34,0.2,,,,,,,,,,
3459,0,0,33,0.2,,,,,,,,,,
3460,0,0,32,0.2,,,,,,,,,,
3461,0,0,32,0.2,,,,,,,,,,
3462,0,0,31,0.2,,,,,,,,,,
3463,28,28,33,0.1,,,,,,,,,,
3464,243,170,37,0.1,,,,,,,,,,
3465,471,214,41,0,,,,,,,,,,
3466,671,254,44,0,,,,,,,,,,
3467,831,279,46,0.1,,,,,,,,,,
3468,935,293,48,0.1,,,,,,,,,,
3469,974,299,48,0.1,,,,,,,,,,
3470,946,295,48,0.1,,,,,,,,,,
3471,852,282,48,0.1,,,,,,,,,,
3472,699,258,46,0.1,,,,,,,,,,
3473,504,251,44,0.1,,,,,,,,,,
3474,177,160,42,0.2,,,,,,,,,,
3475,48,48,40,0.2,,,,,,,,,,
3476,0,0,39,0.2,,,,,,,,,,
3477,0,0,38,0.2,,,,,,,,,,
3478,0,0,37,0.2,,,,,,,,,,
3479,0,0,37,0.2,,,,,,,,,,
3480,0,0,36,0.2,,,,,,,,,,
3481,0,0,35,0.2,,,,,,,,,,
3482,0,0,34,0.2,,,,,,,,,,
3483,0,0,33,0.2,,,,,,,,,,
3484,0,0,33,0.3,,,,,,,,,,
3485,0,0,32,0.3,,,,,,,,,,
3486,0,0,32,0.3,,,,,,,,,,
3487,53,51,33,0.3,,,,,,,,,,
3488,254,163,37,0.3,,,,,,,,,,
3489,471,213,41,0.3,,,,,,,,,,
3490,671,254,45,0.2,,,,,,,,,,
3491,833,271,47,0.1,,,,,,,,,,
3492,941,290,49,0.1,,,,,,,,,,
3493,982,296,50,0,,,,,,,,,,
3494,952,292,50,0,,,,,,,,,,
3495,855,275,49,0,,,,,,,,,,
3496,700,258,47,0,,,,,,,,,,
3497,505,220,45,0.1,,,,,,,,,,
3498,289,177,43,0.1,,,,,,,,,,
3499,79,72,40,0.2,,,,,,,,,,
3500,0,0,39,0.2,,,,,,,,,,
3501,0,0,38,0.3,,,,,,,,,,
3502,0,0,37,0.3,,,,,,,,,,
3503,0,0,36,0.3,,,,,,,,,,
